Root	Category	Name	TunerType	DiseqC	LNB-Selection	LNB	Frequency	Polarity	Symbolrate	FEC	APID	VPID	PMTPID	PCRPID	AC3	TelePID	SID	StreamID	Encrypted	NetworkID	SatModulation	SatModulationSystem	Group	Language	AudioChannel	EPGFlag	Volume	OrbitalPos	DiSEqCValue
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (spa)	1	3	0	9750	11098	v	22000	3	4021	4020	1035	4020	0	0	30062	1042	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (dos)	1	3	0	9750	11098	v	22000	3	4022	4020	1035	4020	0	0	30062	1042	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (ch4)	1	3	0	9750	11098	v	22000	3	4024	4020	1035	4020	0	0	30062	1042	153	1	1	0	0	ch4	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (spa)	1	3	0	9750	11098	v	22000	3	4021	4020	1072	4020	0	0	30078	1042	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (dos)	1	3	0	9750	11098	v	22000	3	4022	4020	1072	4020	0	0	30078	1042	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (ch3)	1	3	0	9750	11098	v	22000	3	4023	4020	1072	4020	0	0	30078	1042	153	1	1	0	0	ch3	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 2 (ch4)	1	3	0	9750	11098	v	22000	3	4024	4020	1072	4020	0	0	30078	1042	153	1	1	0	0	ch4	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 4 (spa)	1	3	0	9750	11098	v	22000	3	4041	4040	1046	4040	0	0	30072	1042	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 4 (ch2)	1	3	0	9750	11098	v	22000	3	4042	4040	1046	4040	0	0	30072	1042	153	1	1	0	0	ch2	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 5 (spa)	1	3	0	9750	11098	v	22000	3	4051	4050	1047	4050	0	0	30073	1042	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 5 (ch2)	1	3	0	9750	11098	v	22000	3	4052	4050	1047	4050	0	0	30073	1042	153	1	1	0	0	ch2	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 6 (spa)	1	3	0	9750	10788	v	22000	3	4001	4000	1040	4000	0	0	30366	1054	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+L.MULTI 6 (ch2)	1	3	0	9750	10788	v	22000	3	4002	4000	1040	4000	0	0	30366	1054	153	1	1	0	0	ch2	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES	1	3	0	9750	11259	v	22000	1	82	160	1024	160	16	0	30900	1004	25	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,spa)	1	3	0	9750	11259	v	22000	1	80	160	1024	160	17	0	30900	1004	153	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,qaa)	1	3	0	9750	11259	v	22000	1	81	160	1024	160	17	0	30900	1004	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,spa)	1	3	0	9750	11259	v	22000	1	80	160	1029	160	17	0	30905	1004	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,qaa)	1	3	0	9750	11259	v	22000	1	81	160	1029	160	17	0	30905	1004	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (2)	1	3	0	9750	11259	v	22000	1	82	160	1029	160	16	0	30905	1004	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,spa)	1	3	0	9750	11259	v	22000	1	80	160	1034	160	17	0	30910	1004	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,qaa)	1	3	0	9750	11259	v	22000	1	81	160	1034	160	17	0	30910	1004	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (2)	1	3	0	9750	11259	v	22000	1	82	160	1034	160	16	0	30910	1004	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,spa)	1	3	0	9750	11259	v	22000	1	80	160	1035	160	17	0	30911	1004	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (AC3,qaa)	1	3	0	9750	11259	v	22000	1	81	160	1035	160	17	0	30911	1004	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LCAMPEONES (2)	1	3	0	9750	11259	v	22000	1	82	160	1035	160	16	0	30911	1004	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LIGA MULTI (spa)	1	3	0	9750	11098	v	22000	3	88	162	1036	162	0	0	30059	1042	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LIGA MULTI (dos)	1	3	0	9750	11098	v	22000	3	89	162	1036	162	0	0	30059	1042	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	C+LIGA MULTI (tre)	1	3	0	9750	11098	v	22000	3	90	162	1036	162	0	0	30059	1042	153	1	1	0	0	tre	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CALLE 13 (spa)	1	3	0	9750	10877	v	22000	3	92	163	1034	163	0	41	30608	1060	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CALLE 13 (dos)	1	3	0	9750	10877	v	22000	3	93	163	1034	163	0	41	30608	1060	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CALLE 13 HD (spa)	1	3	0	9750	10936	v	22000	1	116	166	1025	166	17	51	30751	1064	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CALLE 13 HD (qaa)	1	3	0	9750	10936	v	22000	1	117	166	1025	166	17	51	30751	1064	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CALLE 13 HD (spa)	1	3	0	9750	10936	v	22000	1	116	166	1030	166	17	51	30756	1064	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CALLE 13 HD (qaa)	1	3	0	9750	10936	v	22000	1	117	166	1030	166	17	51	30756	1064	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL COCINA (spa)	1	3	0	9750	11038	v	22000	3	116	169	1026	169	0	0	30414	1038	25	1	1	0	0	spa	0	0	0	192	0
